FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2010,23
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2011,21.7
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2012,17.9
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2013,22.6
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2014,21.2
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2015,24.9
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2016,24.1
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2017,22
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2018,23.5
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2019,22.6
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2020,16.3
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2021,18.9
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2022,19.1
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2023,20.5
A,Annual,IT,Italy,HOUS_PROAD_V,Households declaring to live in an area where some problems are present: poor road conditions: very much,HSC_F,Per 100 households with the same characteristics,2024,22.9
A,Annual,IT,Italy,HOUS_PROAD_VQ,Households declaring to live in an area where some problems are present: poor road conditions: very much and quite,HSC_F,Per 100 households with the same characteristics,2010,51.6
A,Annual,IT,Italy,HOUS_PROAD_VQ,Households declaring to live in an area where some problems are present: poor road conditions: very much and quite,HSC_F,Per 100 households with the same characteristics,2011,50.3
A,Annual,IT,Italy,HOUS_PROAD_VQ,Households declaring to live in an area where some problems are present: poor road conditions: very much and quite,HSC_F,Per 100 households with the same characteristics,2012,45.2
A,Annual,IT,Italy,HOUS_PROAD_VQ,Households declaring to live in an area where some problems are present: poor road conditions: very much and quite,HSC_F,Per 100 households with the same characteristics,2013,52.3
