FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,IMPUTED_RENTS,Including or not including imputed rents,FAM_MAIN_INCOME_SOURCE,Households main income source,TIME_PERIOD,Observation
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2019,39094
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2020,38628
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2021,39168
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2022,40741
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2023,43965
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2010,32302
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2011,32196
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2012,31774
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2013,29572
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2014,30298
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2015,30261
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2016,30177
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2017,31068
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2018,33055
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2019,34289
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2020,34079
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2021,34125
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2022,36131
A,Annual,ITC1,Piemonte,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2023,39021
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2010,31042
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2011,32114
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2012,29889
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2013,29446
