FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,EXPEND_PURPOSE_COICOPCOFOG,Expenditure by purpose,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,P3_D_W0_S13,Consumption of general government,G100,Social protection,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,21660.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,25316.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,24848.6
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,24094.2
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,23619.8
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,23254.3
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,23236.6
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,23543.2
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,23895.9
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,23832
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,23969.1
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,24297.7
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,24588.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,24673.1
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,24879.9
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,2488.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,2511
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,2364.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,2366.9
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,2336.9
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,2378.8
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,2365.9
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,2386.8
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,2418.8
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,2430.3
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,2340.7
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,2345.4
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,2351.3
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G030,Public order and safety,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,2391.2
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,2028.1
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,2069.3
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,1950.2
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,1909.6
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,1840.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,1883.9
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,1921.6
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,1950.5
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,1925.8
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,1963.1
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,1975.3
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,2070.2
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,2112.4
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G040,Economic affairs,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,2142.2
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,8467.6
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,8412.8
A,Annual,ITC1,Piemonte,P3_D_W0_S13,Consumption of general government,G070,Health,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,8127.1
