Data values,Data description,Area code,Area name,Indicator,Notes
,Rate per 100,W01000014,Cyngar,Police recorded burglary per residential dwelling,Confidential
0.12,Rate per 100,W01000014,Cyngar,Fire incidents per at-risk population,
0.4,Rate per 100,W01000015,Gwyngyll,Police recorded violence with injury per at-risk population,
,Rate per 100,W01000015,Gwyngyll,Police recorded public order offences per at-risk population,Confidential
0.36,Rate per 100,W01000015,Gwyngyll,Police recorded criminal damage per at-risk population,
0.47,Rate per 100,W01000015,Gwyngyll,Police recorded violence without injury per at-risk population,
0.43,Rate per 100,W01000015,Gwyngyll,Police recorded stalking and harassment per at-risk population,
0.72,Rate per 100,W01000015,Gwyngyll,Police recorded antisocial behaviour per at-risk population,
0.46,Rate per 100,W01000015,Gwyngyll,Police recorded theft per at-risk population,
,Rate per 100,W01000015,Gwyngyll,Police recorded burglary per residential dwelling,Confidential
0.2,Rate per 100,W01000015,Gwyngyll,Fire incidents per at-risk population,
2.11,Rate per 100,W01000016,Tref Cybi,Police recorded violence with injury per at-risk population,
3.03,Rate per 100,W01000016,Tref Cybi,Police recorded public order offences per at-risk population,
2.63,Rate per 100,W01000016,Tref Cybi,Police recorded criminal damage per at-risk population,
3.14,Rate per 100,W01000016,Tref Cybi,Police recorded violence without injury per at-risk population,
2.73,Rate per 100,W01000016,Tref Cybi,Police recorded stalking and harassment per at-risk population,
6.5,Rate per 100,W01000016,Tref Cybi,Police recorded antisocial behaviour per at-risk population,
1.74,Rate per 100,W01000016,Tref Cybi,Police recorded theft per at-risk population,
1.74,Rate per 100,W01000016,Tref Cybi,Police recorded burglary per residential dwelling,
0.35,Rate per 100,W01000016,Tref Cybi,Fire incidents per at-risk population,
0.94,Rate per 100,W01000017,Kingsland,Police recorded violence with injury per at-risk population,
1.2,Rate per 100,W01000017,Kingsland,Police recorded public order offences per at-risk population,
1.14,Rate per 100,W01000017,Kingsland,Police recorded criminal damage per at-risk population,
1.96,Rate per 100,W01000017,Kingsland,Police recorded violence without injury per at-risk population,
1.67,Rate per 100,W01000017,Kingsland,Police recorded stalking and harassment per at-risk population,
2.12,Rate per 100,W01000017,Kingsland,Police recorded antisocial behaviour per at-risk population,
0.79,Rate per 100,W01000017,Kingsland,Police recorded theft per at-risk population,
,Rate per 100,W01000017,Kingsland,Police recorded burglary per residential dwelling,Confidential
0.65,Rate per 100,W01000017,Kingsland,Fire incidents per at-risk population,
0.43,Rate per 100,W01000018,Llanbadrig,Police recorded violence with injury per at-risk population,
0.43,Rate per 100,W01000018,Llanbadrig,Police recorded public order offences per at-risk population,
0.48,Rate per 100,W01000018,Llanbadrig,Police recorded criminal damage per at-risk population,
0.5,Rate per 100,W01000018,Llanbadrig,Police recorded violence without injury per at-risk population,
0.65,Rate per 100,W01000018,Llanbadrig,Police recorded stalking and harassment per at-risk population,
0.83,Rate per 100,W01000018,Llanbadrig,Police recorded antisocial behaviour per at-risk population,
0.43,Rate per 100,W01000018,Llanbadrig,Police recorded theft per at-risk population,
,Rate per 100,W01000018,Llanbadrig,Police recorded burglary per residential dwelling,Confidential
0.19,Rate per 100,W01000018,Llanbadrig,Fire incidents per at-risk population,
0.51,Rate per 100,W01000019,Llanbedr-goch,Police recorded violence with injury per at-risk population,
0.47,Rate per 100,W01000019,Llanbedr-goch,Police recorded public order offences per at-risk population,
0.48,Rate per 100,W01000019,Llanbedr-goch,Police recorded criminal damage per at-risk population,
0.6,Rate per 100,W01000019,Llanbedr-goch,Police recorded violence without injury per at-risk population,
0.6,Rate per 100,W01000019,Llanbedr-goch,Police recorded stalking and harassment per at-risk population,
0.68,Rate per 100,W01000019,Llanbedr-goch,Police recorded antisocial behaviour per at-risk population,
0.32,Rate per 100,W01000019,Llanbedr-goch,Police recorded theft per at-risk population,
,Rate per 100,W01000019,Llanbedr-goch,Police recorded burglary per residential dwelling,Confidential
0.25,Rate per 100,W01000019,Llanbedr-goch,Fire incidents per at-risk population,
0.37,Rate per 100,W01000021,Llaneilian,Police recorded violence with injury per at-risk population,
0.3,Rate per 100,W01000021,Llaneilian,Police recorded public order offences per at-risk population,
0.3,Rate per 100,W01000021,Llaneilian,Police recorded criminal damage per at-risk population,
0.55,Rate per 100,W01000021,Llaneilian,Police recorded violence without injury per at-risk population,
0.8,Rate per 100,W01000021,Llaneilian,Police recorded stalking and harassment per at-risk population,
1.15,Rate per 100,W01000021,Llaneilian,Police recorded antisocial behaviour per at-risk population,
0.29,Rate per 100,W01000021,Llaneilian,Police recorded theft per at-risk population,
,Rate per 100,W01000021,Llaneilian,Police recorded burglary per residential dwelling,Confidential
0.13,Rate per 100,W01000021,Llaneilian,Fire incidents per at-risk population,
0.43,Rate per 100,W01000022,Llanfaethlu,Police recorded violence with injury per at-risk population,
0.35,Rate per 100,W01000022,Llanfaethlu,Police recorded public order offences per at-risk population,
0.31,Rate per 100,W01000022,Llanfaethlu,Police recorded criminal damage per at-risk population,
0.52,Rate per 100,W01000022,Llanfaethlu,Police recorded violence without injury per at-risk population,
0.87,Rate per 100,W01000022,Llanfaethlu,Police recorded stalking and harassment per at-risk population,
0.64,Rate per 100,W01000022,Llanfaethlu,Police recorded antisocial behaviour per at-risk population,
0.7,Rate per 100,W01000022,Llanfaethlu,Police recorded theft per at-risk population,
