reg_name,elev_mean,elev_median,elev_std,elev_range,elev_iqr,elev_p25,elev_p75,slope_mean,slope_std,slope_max,slope_p95,rugged_score,precip_sum_mm,rain_sum_mm,snowfall_sum_cm,precip_hours_hr,temp_mean_c,temp_min_c,temp_max_c,wind_speed10m_max_ms,wind_gust10m_max_ms,shortwave_rad_sum_MJm2,sunshine_duration_s,cloud_cover_mean_pct,latitude,longitude,Buses or trolley-buses per capita (vehicles),Motor cars per capita (vehicles),Motor units per capita (vehicles),Motorcycles per capita (vehicles),Other vehicles per capita (vehicles),Three-wheelers or motor-vans per capita (vehicles),Total vehicles per capita (fleet),Trailers per capita (vehicles),Trucks per capita (vehicles)
Marche,397.1687760822661,307.0,346.2927091643425,2517.0,457.0,84.0,541.0,12.976617394004018,9.130990649115065,82.23377990722656,29.178677,47.27760804311908,992.1,961.3,21.56,1374.0,14.859836065573768,-2.2,37.2,47.7,113.4,5492.02,11929440.33,53.57103825136612,43.33919,13.203592,0.0019038999,0.7173635943000001,0.003097631,0.1539926596,0.0,0.0044188283,0.9868284925,0.0067799879,0.0992718915
Lazio,397.5093485763071,271.0,394.903466085772,2635.0,748.0,-231.0,517.0,10.415816351499844,9.365913655946857,81.5140609741211,28.260187,46.1317300074467,957.4,957.4,0.0,1083.0,16.83743169398907,-2.1,39.6,33.2,64.8,5869.370000000001,12795145.39,43.14207650273224,42.003513,12.707423,0.0021462025,0.7000443589,0.0028202483,0.12536167410000001,1.7500000000000002e-07,0.0037383995,0.9139265182,0.0051783588,0.07463710100000001
Abruzzo,795.9131789867297,733.0,554.1794864832154,2892.0,958.0,112.0,1070.0,14.36407667269743,9.80526771344916,79.69277954101562,31.822525,53.08934438614659,964.9,832.0,93.03,1239.0,12.97103825136612,-8.8,37.3,22.2,127.4,5829.719999999999,12657849.63,49.65846994535519,42.14411,13.927008,0.0024929681,0.7274488784,0.0042502546,0.127207537,7.877e-07,0.0062517181,0.9846530836,0.0088833157,0.10811762400000001
Molise,574.4072680292862,569.0,332.55821868445383,2165.0,529.0,324.0,853.0,10.971951381945496,7.203103927734885,76.59723663330078,27.923609,39.82505530968038,762.9,703.2,41.79,1128.0,13.539071038251366,-6.8,38.0,40.9,99.0,5795.15,12435212.74,53.17486338797814,41.722317,14.587553,0.0039070063,0.7634739856,0.0059365751,0.12241031170000001,0.0,0.009193566200000001,1.0558321578,0.0110191409,0.1398915719
Campania,435.9859129933496,389.0,347.5971074468167,1956.0,684.0,-134.0,550.0,11.67355431267748,9.747934008152258,81.46595764160156,27.419016,40.98148832082974,980.9,955.0,18.200000000000003,1685.0,15.313387978142076,-0.0,36.2,38.6,97.9,5755.08,12386021.04,52.22950819672131,40.878735,14.85064,0.0020064692,0.6659345009000001,0.0055935870000000006,0.12505823300000002,5.363000000000001e-07,0.0067260694000000005,0.8909298798,0.010738471500000001,0.0748720125
Puglia,204.5419980677985,131.0,192.7138407432102,1259.0,787.0,-521.0,266.0,3.755667024102211,4.493664337077927,72.57489776611328,18.877531,20.839331361180136,554.4,536.4,12.6,928.0,16.88169398907104,1.2,37.8,40.8,81.7,5998.13,12974052.16,42.387978142076506,40.94903,16.666668,0.0020030015,0.6465631418000001,0.0034901524,0.0947425129,2.5700000000000004e-07,0.0077413581,0.8400181871,0.0068453664000000004,0.0786323969
Basilicata,561.6585084946834,523.0,346.8927697755519,2252.0,473.0,238.0,711.0,11.397481398344388,7.871663532820636,81.8207015991211,26.783882,41.78914493116503,742.8,696.9,32.129999999999995,1196.0,11.860928961748636,-7.2,34.4,35.9,82.4,6009.33,12601826.760000002,48.21311475409836,40.52724,16.016949,0.0037507056,0.7338349277,0.0057629592,0.0847771987,0.0,0.007447026000000001,0.9626129666000001,0.0113440091,0.1156961403
Calabria,523.4209528254208,406.0,431.7439195943523,2486.0,1102.0,-672.0,430.0,14.258231775476146,9.77852753851961,81.5250244140625,28.011532,48.89675931399576,1114.5,1102.6,8.33,1681.0,13.083879781420764,-3.6,33.6,32.1,99.4,6254.710000000001,12875976.069999998,47.82786885245902,39.121265,16.318682,0.0027336492,0.7486881094000001,0.0043854783000000005,0.0934319536,0.0,0.0134604758,0.9733428407,0.0073666027000000005,0.10327657180000001
Sicilia,427.2002078673151,366.0,338.5337263701356,3706.0,857.0,-896.0,-39.0,10.550321376790148,8.180985451448892,84.89920806884766,16.945662,55.79130682823904,488.1,488.1,0.0,756.0,16.65737704918033,-1.2,40.0,38.7,73.4,6535.25,13277396.03,42.71311475409836,37.57469,14.16,0.0016540351000000001,0.731278814,0.0036728542,0.1591431869,6.253000000000001e-07,0.008451942,1.0057898523,0.0088013009,0.0927870939
Sardegna,338.7861716066404,282.0,276.30363334662115,1870.0,412.0,-60.0,352.0,10.564882733479704,8.863283993941232,80.65484619140625,24.99385,38.12816672742093,888.3,877.8,7.349999999999999,1431.0,14.140437158469943,-1.5,36.3,33.1,78.1,6271.110000000001,13005574.98,44.77049180327869,40.03515,9.062938,0.0023840255000000003,0.7149695024,0.0035263711,0.0948910919,6.368e-07,0.0090018612,0.9480850430000001,0.010450487900000001,0.1128610662
